metric,value
tri_residual_mean_mm,1.2484277190765933
tri_residual_median_mm,1.1459434318416832
tri_residual_rms_mm,1.467382296848551
tri_residual_p90_mm,2.2460255235728015
tri_residual_max_mm,3.543678871229982
edge_err_mean_mm,0.4121042292745497
edge_err_median_mm,0.2941087418617226
edge_err_rms_mm,0.5382276038565523
edge_err_p90_mm,0.8221234381574523
edge_err_relative_pct,1.8732010421570442
diag_err_mean_mm,0.5102284314377628
expected_edge_mm,22.0
frames_analyzed,23
multi_view_obs,312
