frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.244680,0.244818,0.251035,"[4]"
1,True,1,4,0.244680,0.244818,0.251035,"[4]"
2,True,1,4,0.105217,0.105158,0.107801,"[0]"
3,True,1,4,0.105217,0.105158,0.107801,"[0]"
4,True,1,4,0.056828,0.056787,0.058928,"[0]"
5,True,1,4,0.056828,0.056787,0.058928,"[0]"
6,True,1,4,0.093916,0.093779,0.098000,"[0]"
7,True,1,4,0.243019,0.242618,0.258610,"[4]"
8,True,1,4,0.106748,0.106799,0.107644,"[2]"
9,True,1,4,0.106748,0.106799,0.107644,"[2]"
10,True,1,4,0.076683,0.076556,0.083709,"[3]"
11,True,1,4,0.060706,0.060694,0.062453,"[4]"
12,True,1,4,0.204027,0.204016,0.206318,"[3]"
13,True,1,4,0.271269,0.271284,0.272041,"[3]"
14,True,1,4,0.107686,0.107661,0.108737,"[3]"
15,True,1,4,0.159219,0.159218,0.161041,"[0]"
16,True,1,4,0.152818,0.152765,0.154994,"[1]"
17,True,1,4,0.152818,0.152765,0.154994,"[1]"
18,True,1,4,0.159252,0.159232,0.161655,"[1]"
19,True,1,4,0.159252,0.159232,0.161655,"[1]"
20,True,1,4,0.129253,0.129239,0.130757,"[4]"
21,True,1,4,0.162426,0.162374,0.164357,"[4]"
22,True,1,4,0.301577,0.301375,0.310136,"[3]"
23,True,1,4,0.150222,0.150198,0.152398,"[4]"
