frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.047554,0.047552,0.048700,"[1]"
1,True,1,4,0.113917,0.114128,0.120376,"[0]"
2,True,1,4,0.197707,0.197136,0.208910,"[0]"
3,True,1,4,0.128994,0.128984,0.130209,"[3]"
4,True,1,4,0.164673,0.164613,0.167666,"[1]"
5,True,1,4,0.073166,0.073166,0.073655,"[3]"
6,True,1,4,0.120761,0.120736,0.121022,"[1]"
7,True,1,4,0.243737,0.243781,0.246769,"[2]"
8,True,1,4,0.182955,0.183088,0.185315,"[2]"
9,True,1,4,0.083771,0.083741,0.085128,"[0]"
10,True,1,4,0.032166,0.032169,0.032787,"[2]"
11,True,1,4,0.191617,0.191538,0.195336,"[2]"
