frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.155147,0.155159,0.159708,"[2]"
1,True,1,4,0.155147,0.155159,0.159708,"[2]"
2,True,1,4,0.167478,0.167507,0.174125,"[2]"
3,True,1,4,0.167478,0.167507,0.174125,"[2]"
4,True,1,4,0.107558,0.107519,0.111385,"[2]"
5,True,1,4,0.095458,0.095421,0.097483,"[3]"
6,True,1,4,0.098278,0.098279,0.098381,"[3]"
7,True,1,4,0.098278,0.098279,0.098381,"[3]"
8,True,1,4,0.200912,0.200660,0.215737,"[4]"
9,True,1,4,0.200912,0.200660,0.215737,"[4]"
10,True,1,4,0.138043,0.138017,0.144871,"[3]"
11,True,1,4,0.322212,0.321884,0.343324,"[4]"
12,True,1,4,0.160568,0.160405,0.172826,"[1]"
13,True,1,4,0.138254,0.138010,0.151331,"[1]"
14,True,1,4,0.427466,0.427289,0.456645,"[4]"
15,True,1,4,0.205338,0.205078,0.216999,"[4]"
16,True,1,4,0.176089,0.175459,0.195706,"[0]"
17,True,1,4,0.225078,0.225297,0.233944,"[3]"
18,True,1,4,0.206770,0.206746,0.209035,"[4]"
19,True,1,4,0.206770,0.206746,0.209035,"[4]"
20,True,1,4,0.143730,0.143723,0.144586,"[3]"
21,True,1,4,0.099262,0.099220,0.101452,"[3]"
22,True,1,4,0.143762,0.143744,0.144627,"[4]"
23,True,1,4,0.143762,0.143744,0.144627,"[4]"
