frame_id,ok,used_markers,n_points,err_mean,err_median,err_p90,used_ids
0,True,1,4,0.026196,0.026146,0.027423,"[0]"
1,True,1,4,0.026196,0.026146,0.027423,"[0]"
2,True,1,4,0.172838,0.172830,0.179825,"[0]"
3,True,1,4,0.187294,0.187262,0.190169,"[1]"
4,True,1,4,0.113816,0.113159,0.128171,"[2]"
5,True,1,4,0.113816,0.113159,0.128171,"[2]"
6,True,1,4,0.065755,0.065721,0.068494,"[1]"
7,True,1,4,0.065755,0.065721,0.068494,"[1]"
8,True,1,4,0.039241,0.039235,0.039959,"[2]"
9,True,1,4,0.039241,0.039235,0.039959,"[2]"
10,True,1,4,0.048029,0.048022,0.048943,"[0]"
11,True,1,4,0.077783,0.077651,0.084569,"[0]"
12,True,1,4,0.155125,0.154970,0.159612,"[0]"
13,True,1,4,0.137713,0.137575,0.142147,"[2]"
14,True,1,4,0.097190,0.097182,0.098665,"[2]"
15,True,1,4,0.235592,0.235565,0.238159,"[2]"
16,True,1,4,0.096028,0.095846,0.102431,"[1]"
17,True,1,4,0.010040,0.010040,0.010265,"[2]"
18,True,1,4,0.169425,0.169209,0.176305,"[2]"
19,True,1,4,0.191931,0.191783,0.206260,"[2]"
20,True,1,4,0.160391,0.159843,0.181568,"[0]"
21,True,1,4,0.334254,0.334086,0.344873,"[2]"
22,True,1,4,0.137500,0.137414,0.146784,"[2]"
23,True,1,4,0.172127,0.171972,0.185956,"[3]"
